0,obj,round trip efficiency,storage capex/m3,fixed capex,size,years,storage yearly OPEX,yearly savings,solution was run at time...
,1.711669028736651e-08,,500.0,10000.0,41.18,9.0,96453.78,3235.3,
,1.9839717424474657e-08,,300.0,1000.0,41.18,4.0,96453.78,3235.3,
,1.9839717424474657e-08,,300.0,1000.0,41.18,4.0,96453.78,3235.3,
,1.9839717424474657e-08,,300.0,1000.0,41.18,4.0,96453.78,3235.3,
,2.9738657758571208e-08,0.6,300.0,1000.0,35.67,4.0,96453.78,3235.3,
,1.9839717424474657e-08,0.8,300.0,1000.0,41.18,4.0,96453.78,3235.3,
,2.493834472261369e-09,0.2,300.0,1000.0,20.59,2.0,96453.78,3235.3,
,,,,,,,,,
,-2.7299392968416214e-08,0.8,300.0,100000.0,41.18,35.0,96453.78,3235.3,
,7.962808012962341e-08,0.6,300.0,100000.0,35.67,34.0,96453.8,3235.3,
,5.2401446737349033e-08,0.2,300.0,100000.0,20.59,33.0,96453.8,3235.3,_2019-08-26_13-20-35
,-2.7299392968416214e-08,0.8,300.0,1.0E+05,41.18,35.0,96453.8,3235.3,2019_08_26 - 13_31_53
