internal_gain_type,time_period,internal_gain_occupancy,internal_gain_appliances
wtp_office_internal_gains,01T00:00,0.05,0.05
wtp_office_internal_gains,01T01:00,0.0,0.0
wtp_office_internal_gains,01T02:00,0.0,0.0
wtp_office_internal_gains,01T03:00,0.0,0.0
wtp_office_internal_gains,01T04:00,0.0,0.0
wtp_office_internal_gains,01T05:00,0.0,0.0
wtp_office_internal_gains,01T06:00,0.0,0.0
wtp_office_internal_gains,01T07:00,0.1,0.1
wtp_office_internal_gains,01T08:00,0.2,0.2
wtp_office_internal_gains,01T09:00,0.95,0.95
wtp_office_internal_gains,01T10:00,0.95,0.95
wtp_office_internal_gains,01T11:00,0.95,0.95
wtp_office_internal_gains,01T12:00,0.95,0.95
wtp_office_internal_gains,01T13:00,0.5,0.5
wtp_office_internal_gains,01T14:00,0.95,0.95
wtp_office_internal_gains,01T15:00,0.95,0.95
wtp_office_internal_gains,01T16:00,0.95,0.95
wtp_office_internal_gains,01T17:00,0.95,0.95
wtp_office_internal_gains,01T18:00,0.3,0.3
wtp_office_internal_gains,01T19:00,0.1,0.1
wtp_office_internal_gains,01T20:00,0.1,0.1
wtp_office_internal_gains,01T21:00,0.1,0.1
wtp_office_internal_gains,01T22:00,0.1,0.1
wtp_office_internal_gains,01T23:00,0.05,0.05
wtp_office_internal_gains,06T00:00,0.0,0.0
wtp_office_internal_gains,06T01:00,0.0,0.0
wtp_office_internal_gains,06T02:00,0.0,0.0
wtp_office_internal_gains,06T03:00,0.0,0.0
wtp_office_internal_gains,06T04:00,0.0,0.0
wtp_office_internal_gains,06T05:00,0.0,0.0
wtp_office_internal_gains,06T06:00,0.0,0.0
wtp_office_internal_gains,06T07:00,0.05,0.05
wtp_office_internal_gains,06T08:00,0.05,0.05
wtp_office_internal_gains,06T09:00,0.05,0.05
wtp_office_internal_gains,06T10:00,0.05,0.05
wtp_office_internal_gains,06T11:00,0.05,0.05
wtp_office_internal_gains,06T12:00,0.05,0.05
wtp_office_internal_gains,06T13:00,0.05,0.05
wtp_office_internal_gains,06T14:00,0.05,0.05
wtp_office_internal_gains,06T15:00,0.05,0.05
wtp_office_internal_gains,06T16:00,0.05,0.05
wtp_office_internal_gains,06T17:00,0.05,0.05
wtp_office_internal_gains,06T18:00,0.05,0.05
wtp_office_internal_gains,06T19:00,0.0,0.0
wtp_office_internal_gains,06T20:00,0.0,0.0
wtp_office_internal_gains,06T21:00,0.0,0.0
wtp_office_internal_gains,06T22:00,0.0,0.0
wtp_office_internal_gains,06T23:00,0.0,0.0
