,clearing_price
2020-01-01 00:00:00,70.56
2020-01-01 00:30:00,75.39
2020-01-01 01:00:00,72.72
2020-01-01 01:30:00,70.49
2020-01-01 02:00:00,70.48
2020-01-01 02:30:00,69.28
2020-01-01 03:00:00,68.1
2020-01-01 03:30:00,66.95
2020-01-01 04:00:00,66.51
2020-01-01 04:30:00,66.5
2020-01-01 05:00:00,66.75
2020-01-01 05:30:00,67.92
2020-01-01 06:00:00,68.88
2020-01-01 06:30:00,69.22
2020-01-01 07:00:00,69.28
2020-01-01 07:30:00,73.37
2020-01-01 08:00:00,76.15
2020-01-01 08:30:00,76.58
2020-01-01 09:00:00,80.69
2020-01-01 09:30:00,82.73
2020-01-01 10:00:00,30.317487073428012
2020-01-01 10:30:00,30.243871347444657
2020-01-01 11:00:00,133.0793518435751
2020-01-01 11:30:00,133.77127248205986
2020-01-01 12:00:00,30.085230768296903
2020-01-01 12:30:00,30.048738416607147
2020-01-01 13:00:00,135.5200855417503
2020-01-01 13:30:00,136.00992460253212
2020-01-01 14:00:00,29.974621665722065
2020-01-01 14:30:00,29.959218083011574
2020-01-01 15:00:00,137.2548574917434
2020-01-01 15:30:00,137.60563613482472
2020-01-01 16:00:00,29.932909325782678
2020-01-01 16:30:00,29.929317356109358
2020-01-01 17:00:00,84.75
2020-01-01 17:30:00,84.75
2020-01-01 18:00:00,85.82
2020-01-01 18:30:00,100.7
2020-01-01 19:00:00,115.37
2020-01-01 19:30:00,103.98
2020-01-01 20:00:00,115.37
2020-01-01 20:30:00,125.93
2020-01-01 21:00:00,113.02
2020-01-01 21:30:00,100.93
2020-01-01 22:00:00,103.99
2020-01-01 22:30:00,86.89
2020-01-01 23:00:00,85.83
2020-01-01 23:30:00,83.99
2020-01-02 00:00:00,77.97
