,residual_demand
2020-01-01 00:00:00,4655.667477157226
2020-01-01 00:30:00,4969.464768745256
2020-01-01 01:00:00,4800.92548694584
2020-01-01 01:30:00,4653.316036313428
2020-01-01 02:00:00,4652.904682409515
2020-01-01 02:30:00,4571.517396278023
2020-01-01 03:00:00,4490.100092492656
2020-01-01 03:30:00,4409.383784349124
2020-01-01 04:00:00,4378.133737710014
2020-01-01 04:30:00,4377.421109110387
2020-01-01 05:00:00,4395.204756591669
2020-01-01 05:30:00,4477.556627315523
2020-01-01 06:00:00,4541.9831425089205
2020-01-01 06:30:00,4565.3195315502635
2020-01-01 07:00:00,4567.5960955546
2020-01-01 07:30:00,4839.439074093574
2020-01-01 08:00:00,5014.9385445375565
2020-01-01 08:30:00,4818.1662978854165
2020-01-01 09:00:00,4977.935702288049
2020-01-01 09:30:00,5005.237138168463
2020-01-01 10:00:00,4947.546721251523
2020-01-01 10:30:00,4570.353598936952
2020-01-01 11:00:00,4673.909685353041
2020-01-01 11:30:00,4528.314559730855
2020-01-01 12:00:00,4494.433901818852
2020-01-01 12:30:00,4480.126870507903
2020-01-01 13:00:00,4556.2880884269225
2020-01-01 13:30:00,4565.904172683441
2020-01-01 14:00:00,4586.492354527736
2020-01-01 14:30:00,4529.2383339249045
2020-01-01 15:00:00,4526.717327886371
2020-01-01 15:30:00,4542.701527853277
2020-01-01 16:00:00,4608.755634317694
2020-01-01 16:30:00,4700.4607574848205
2020-01-01 17:00:00,4753.949455101112
2020-01-01 17:30:00,4812.135943858704
2020-01-01 18:00:00,5049.295174942666
2020-01-01 18:30:00,5931.37984609737
2020-01-01 19:00:00,6725.600279916755
2020-01-01 19:30:00,6248.444888554103
2020-01-01 20:00:00,6742.385182402753
2020-01-01 20:30:00,7157.702863348297
2020-01-01 21:00:00,6701.592588908153
2020-01-01 21:30:00,6165.461104812189
2020-01-01 22:00:00,6309.775700214243
2020-01-01 22:30:00,5507.939692233936
2020-01-01 23:00:00,5580.522137057236
2020-01-01 23:30:00,5477.819333976863
2020-01-02 00:00:00,5128.9410583087565
